1,Chest,2026-03-03 17:54:13.317,2026-03-03 17:54:13.317
2,Triceps,2026-03-03 17:54:13.412,2026-03-03 17:54:13.412
3,Back,2026-03-03 17:55:19.801,2026-03-03 17:55:19.801
4,Biceps,2026-03-03 17:55:19.811,2026-03-03 17:55:19.811
5,Legs,2026-03-03 17:55:32.706,2026-03-03 17:55:32.706
6,Shoulders,2026-03-03 17:55:32.715,2026-03-03 17:55:32.715
7,Core,2026-03-03 17:55:43.318,2026-03-03 17:55:43.318
